"entrezgene" "ensembl_gene_id" "external_gene_name"
18103 "ENSMUSG00000020857" "Nme2"
18148 "ENSMUSG00000057113" "Npm1"
18242 "ENSMUSG00000030934" "Oat"
18245 "ENSMUSG00000035242" "Oaz1"
18263 "ENSMUSG00000011179" "Odc1"
18293 "ENSMUSG00000020456" "Ogdh"
18458 "ENSMUSG00000022283" "Pabpc1"
18477 "ENSMUSG00000028691" "Prdx1"
18570 "ENSMUSG00000021576" "Pdcd6"
18597 "ENSMUSG00000031299" "Pdha1"
18655 "ENSMUSG00000062070" "Pgk1"
18674 "ENSMUSG00000061904" "Slc25a3"
19027 "ENSMUSG00000020570" "Sypl"
19045 "ENSMUSG00000040385" "Ppp1ca"
19052 "ENSMUSG00000020349" "Ppp2ca"
19073 "ENSMUSG00000020077" "Srgn"
19084 "ENSMUSG00000020612" "Prkar1a"
19087 "ENSMUSG00000032601" "Prkar2a"
19167 "ENSMUSG00000060073" "Psma3"
19170 "ENSMUSG00000014769" "Psmb1"
19172 "ENSMUSG00000005779" "Psmb4"
19177 "ENSMUSG00000026750" "Psmb7"
19231 "ENSMUSG00000026238" "Ptma"
19243 "ENSMUSG00000026064" "Ptp4a1"
19243 "ENSMUSG00000117310" "Ptp4a1"
19247 "ENSMUSG00000043733" "Ptpn11"
19299 "ENSMUSG00000028127" "Abcd3"
19326 "ENSMUSG00000077450" "Rab11b"
19328 "ENSMUSG00000023460" "Rab12"
19349 "ENSMUSG00000079477" "Rab7"
19353 "ENSMUSG00000001847" "Rac1"
19357 "ENSMUSG00000022314" "Rad21"
19384 "ENSMUSG00000029430" "Ran"
19385 "ENSMUSG00000005732" "Ranbp1"
19744 "ENSMUSG00000028945" "Rheb"
19899 "ENSMUSG00000059070" "Rpl18"
19943 "ENSMUSG00000030432" "Rpl28"
19982 "ENSMUSG00000079435" "Rpl36a"
19988 "ENSMUSG00000029614" "Rpl6"
19989 "ENSMUSG00000043716" "Rpl7"
20044 "ENSMUSG00000024608" "Rps14"
20055 "ENSMUSG00000037563" "Rps16"
20068 "ENSMUSG00000061787" "Rps17"
20084 "ENSMUSG00000008668" "Rps18"
20091 "ENSMUSG00000028081" "Rps3a1"
20102 "ENSMUSG00000031320" "Rps4x"
20103 "ENSMUSG00000012848" "Rps5"
20116 "ENSMUSG00000047675" "Rps8"
20229 "ENSMUSG00000025283" "Sat1"
20280 "ENSMUSG00000028603" "Scp2"
20382 "ENSMUSG00000034120" "Srsf2"
20411 "ENSMUSG00000025006" "Sorbs1"
20422 "ENSMUSG00000042541" "Sem1"
20462 "ENSMUSG00000022858" "Tra2b"
20463 "ENSMUSG00000024248" "Cox7a2l"
20597 "ENSMUSG00000037049" "Smpd1"
20655 "ENSMUSG00000022982" "Sod1"
20656 "ENSMUSG00000006818" "Sod2"
20916 "ENSMUSG00000022110" "Sucla2"
20918 "ENSMUSG00000035530" "Eif1"
20973 "ENSMUSG00000048277" "Syngr2"
212111 "ENSMUSG00000025477" "Inpp5a"
21366 "ENSMUSG00000030096" "Slc6a6"
21454 "ENSMUSG00000068039" "Tcp1"
21672 "ENSMUSG00000005161" "Prdx2"
21761 "ENSMUSG00000062270" "Morf4l1"
21762 "ENSMUSG00000006998" "Psmd2"
21807 "ENSMUSG00000022010" "Tsc22d1"
218236 "ENSMUSG00000038014" "Fam120a"
218490 "ENSMUSG00000021660" "Btf3"
21854 "ENSMUSG00000062580" "Timm17a"
21872 "ENSMUSG00000030516" "Tjp1"
218952 "ENSMUSG00000037712" "Fermt2"
21991 "ENSMUSG00000023456" "Tpi1"
22027 "ENSMUSG00000020048" "Hsp90b1"
22070 "ENSMUSG00000060126" "Tpt1"
22187 "ENSMUSG00000019505" "Ubb"
22190 "ENSMUSG00000008348" "Ubc"
22210 "ENSMUSG00000020390" "Ube2b"
22333 "ENSMUSG00000020402" "Vdac1"
22335 "ENSMUSG00000008892" "Vdac3"
22384 "ENSMUSG00000040731" "Eif4h"
225288 "ENSMUSG00000034295" "Fhod3"
22608 "ENSMUSG00000028639" "Ybx1"
22627 "ENSMUSG00000020849" "Ywhae"
22628 "ENSMUSG00000051391" "Ywhag"
226646 "ENSMUSG00000013593" "Ndufs2"
22682 "ENSMUSG00000024750" "Zfand5"
227613 "ENSMUSG00000036752" "Tubb4b"
22763 "ENSMUSG00000022201" "Zfr"
228033 "ENSMUSG00000018770" "Atp5g3"
229663 "ENSMUSG00000068823" "Csde1"
230075 "ENSMUSG00000071014" "Ndufb6"
231086 "ENSMUSG00000059447" "Hadhb"
231413 "ENSMUSG00000044221" "Grsf1"
232087 "ENSMUSG00000053907" "Mat2a"
232341 "ENSMUSG00000045962" "Wnk1"
233908 "ENSMUSG00000030795" "Fus"
234214 "ENSMUSG00000031626" "Sorbs2"
234593 "ENSMUSG00000036564" "Ndrg4"
235072 "ENSMUSG00000001833" "Septin7"
23970 "ENSMUSG00000016664" "Pacsin2"
23980 "ENSMUSG00000032959" "Pebp1"
23983 "ENSMUSG00000051695" "Pcbp1"
23994 "ENSMUSG00000000346" "Dazap2"
24109 "ENSMUSG00000001687" "Ubl3"
245688 "ENSMUSG00000031353" "Rbbp7"
26440 "ENSMUSG00000030751" "Psma1"
26441 "ENSMUSG00000032301" "Psma4"
26443 "ENSMUSG00000021024" "Psma6"
26444 "ENSMUSG00000027566" "Psma7"
26446 "ENSMUSG00000069744" "Psmb3"
268373 "ENSMUSG00000071866" "Ppia"
269523 "ENSMUSG00000028452" "Vcp"
26961 "ENSMUSG00000003970" "Rpl8"
27050 "ENSMUSG00000030744" "Rps3"
27057 "ENSMUSG00000056234" "Ncoa4"
27176 "ENSMUSG00000062647" "Rpl7a"
27357 "ENSMUSG00000019528" "Gyg"
27367 "ENSMUSG00000060036" "Rpl3"
27370 "ENSMUSG00000025362" "Rps26"
27425 "ENSMUSG00000038717" "Atp5l"
27981 "ENSMUSG00000037266" "Rsrp1"
28015 "ENSMUSG00000032199" "Polr2m"
28080 "ENSMUSG00000022956" "Atp5o"
28295 "ENSMUSG00000053329" "Gatd3a"
29876 "ENSMUSG00000037242" "Clic4"
30057 "ENSMUSG00000039016" "Timm8b"
30930 "ENSMUSG00000020078" "Vps26a"
30939 "ENSMUSG00000020415" "Pttg1"
30960 "ENSMUSG00000024091" "Vapa"
320609 "ENSMUSG00000039629" "Strip2"
320717 "ENSMUSG00000038582" "Pptc7"
353187 "ENSMUSG00000021775" "Nr1d2"
353242 "ENSMUSG00000024829" "Mrpl21"
381339 "ENSMUSG00000079588" "Tmem182"
50770 "ENSMUSG00000031441" "Atp11a"
50797 "ENSMUSG00000032458" "Copb2"
50799 "ENSMUSG00000015112" "Slc25a13"
50849 "ENSMUSG00000041740" "Rnf10"
50933 "ENSMUSG00000022111" "Uchl3"
52637 "ENSMUSG00000037710" "Cisd1"
52639 "ENSMUSG00000041895" "Wipi1"
52898 "ENSMUSG00000093989" "Rnasek"
53378 "ENSMUSG00000028249" "Sdcbp"
53379 "ENSMUSG00000004980" "Hnrnpa2b1"
53599 "ENSMUSG00000019818" "Cd164"
53600 "ENSMUSG00000013701" "Timm23"
54198 "ENSMUSG00000019804" "Snx3"
54214 "ENSMUSG00000038708" "Golga4"
54405 "ENSMUSG00000016427" "Ndufa1"
54683 "ENSMUSG00000024953" "Prdx5"
55949 "ENSMUSG00000025967" "Eef1b2"
55950 "ENSMUSG00000047843" "Bri3"
56282 "ENSMUSG00000039640" "Mrpl12"
56307 "ENSMUSG00000036112" "Metap2"
56330 "ENSMUSG00000030417" "Pdcd5"
56338 "ENSMUSG00000038393" "Txnip"
56347 "ENSMUSG00000030738" "Eif3c"
56376 "ENSMUSG00000028273" "Pdlim5"
56378 "ENSMUSG00000029465" "Arpc3"
56397 "ENSMUSG00000031422" "Morf4l2"
56431 "ENSMUSG00000015932" "Dstn"
56436 "ENSMUSG00000039041" "Adrm1"
56442 "ENSMUSG00000019877" "Serinc1"
56445 "ENSMUSG00000031701" "Dnaja2"
56451 "ENSMUSG00000052738" "Suclg1"
56455 "ENSMUSG00000009013" "Dynll1"
56490 "ENSMUSG00000022708" "Zbtb20"
57320 "ENSMUSG00000028964" "Park7"
57752 "ENSMUSG00000030852" "Tacc2"
58875 "ENSMUSG00000029776" "Hibadh"
59008 "ENSMUSG00000029472" "Anapc5"
59021 "ENSMUSG00000047187" "Rab2a"
606496 "ENSMUSG00000057177" "Gsk3a"
65113 "ENSMUSG00000024425" "Ndfip1"
66046 "ENSMUSG00000027673" "Ndufb5"
66085 "ENSMUSG00000031029" "Eif3f"
66091 "ENSMUSG00000035674" "Ndufa3"
66092 "ENSMUSG00000041028" "Ghitm"
66108 "ENSMUSG00000000399" "Ndufa9"
66109 "ENSMUSG00000020577" "Tspan13"
66117 "ENSMUSG00000019689" "Fmc1"
66128 "ENSMUSG00000061474" "Mrps36"
66142 "ENSMUSG00000031231" "Cox7b"
66158 "ENSMUSG00000067925" "Rtl8a"
66177 "ENSMUSG00000084786" "Ubl5"
66218 "ENSMUSG00000022354" "Ndufb9"
66290 "ENSMUSG00000039105" "Atp6v1g1"
66359 "ENSMUSG00000026500" "Cox20"
66383 "ENSMUSG00000025825" "Iscu"
66397 "ENSMUSG00000020386" "Sar1b"
66414 "ENSMUSG00000020022" "Ndufa12"
66447 "ENSMUSG00000026688" "Mgst3"
66449 "ENSMUSG00000014301" "Pam16"
66477 "ENSMUSG00000071528" "Atp5md"
66480 "ENSMUSG00000012405" "Rpl15"
66481 "ENSMUSG00000039001" "Rps21"
66483 "ENSMUSG00000049751" "Rpl36al"
66489 "ENSMUSG00000062997" "Rpl35"
66495 "ENSMUSG00000026032" "Ndufb3"
66556 "ENSMUSG00000024914" "Drap1"
66576 "ENSMUSG00000063882" "Uqcrh"
66618 "ENSMUSG00000001158" "Snrnp27"
66629 "ENSMUSG00000022200" "Golph3"
66694 "ENSMUSG00000038462" "Uqcrfs1"
66713 "ENSMUSG00000020152" "Actr2"
66734 "ENSMUSG00000027602" "Map1lc3a"
66834 "ENSMUSG00000006717" "Acot13"
66905 "ENSMUSG00000024197" "Plin3"
66915 "ENSMUSG00000073616" "Cops9"
66916 "ENSMUSG00000033938" "Ndufb7"
66945 "ENSMUSG00000021577" "Sdha"
67003 "ENSMUSG00000030884" "Uqcrc2"
67035 "ENSMUSG00000028035" "Dnajb4"
67044 "ENSMUSG00000025868" "Higd2a"
67054 "ENSMUSG00000029247" "Paics"
67068 "ENSMUSG00000047459" "Dynlrb1"
67126 "ENSMUSG00000016252" "Atp5e"
67130 "ENSMUSG00000022450" "Ndufa6"
67184 "ENSMUSG00000036199" "Ndufa13"
67186 "ENSMUSG00000025508" "Rplp2"
67248 "ENSMUSG00000079641" "Rpl39"
67267 "ENSMUSG00000024208" "Uqcc2"
67270 "ENSMUSG00000062981" "Mrpl42"
67300 "ENSMUSG00000047126" "Cltc"
67383 "ENSMUSG00000024726" "Carnmt1"
67437 "ENSMUSG00000027828" "Ssr3"
67443 "ENSMUSG00000031812" "Map1lc3b"
67530 "ENSMUSG00000021520" "Uqcrb"
67568 "ENSMUSG00000055302" "Mrfap1"
67693 "ENSMUSG00000027245" "Hypk"
67713 "ENSMUSG00000027679" "Dnajc19"
67800 "ENSMUSG00000030747" "Dgat2"
67863 "ENSMUSG00000014606" "Slc25a11"
67869 "ENSMUSG00000037058" "Paip2"
67887 "ENSMUSG00000031532" "Saraf"
67891 "ENSMUSG00000032399" "Rpl4"
67942 "ENSMUSG00000062683" "Atp5g2"
68024 "ENSMUSG00000018102" "H2bc4"
68036 "ENSMUSG00000062397" "Zfp706"
68045 "ENSMUSG00000021807" "Rtraf"
68095 "ENSMUSG00000029152" "Ociad1"
68097 "ENSMUSG00000020483" "Dynll2"
68135 "ENSMUSG00000022312" "Eif3h"
68194 "ENSMUSG00000022820" "Ndufb4"
68197 "ENSMUSG00000030647" "Ndufc2"
68202 "ENSMUSG00000023089" "Ndufa5"
68316 "ENSMUSG00000079508" "Apoo"
68337 "ENSMUSG00000006356" "Crip2"
68375 "ENSMUSG00000026895" "Ndufa8"
68436 "ENSMUSG00000062006" "Rpl34"
68585 "ENSMUSG00000020458" "Rtn4"
68728 "ENSMUSG00000038375" "Trp53inp2"
68810 "ENSMUSG00000039103" "Nexn"
68836 "ENSMUSG00000010406" "Mrpl52"
69010 "ENSMUSG00000035048" "Anapc13"
69019 "ENSMUSG00000021917" "Spcs1"
69029 "ENSMUSG00000022452" "Smdt1"
69046 "ENSMUSG00000044792" "Isca1"
69576 "ENSMUSG00000046345" "Smco1"
70186 "ENSMUSG00000003955" "Fam162a"
70257 "ENSMUSG00000021290" "Atp5mpl"
70827 "ENSMUSG00000026028" "Trak2"
71679 "ENSMUSG00000034566" "Atp5h"
71883 "ENSMUSG00000029319" "Coq2"
71914 "ENSMUSG00000029338" "Antxr2"
72157 "ENSMUSG00000025791" "Pgm1"
72459 "ENSMUSG00000067873" "Htatsf1"
72479 "ENSMUSG00000028383" "Hsdl2"
72931 "ENSMUSG00000044627" "Swi5"
74006 "ENSMUSG00000022789" "Dnm1l"
74117 "ENSMUSG00000026341" "Actr3"
74182 "ENSMUSG00000027346" "Gpcpd1"
75406 "ENSMUSG00000020153" "Ndufs7"
76469 "ENSMUSG00000047419" "Cmya5"
76707 "ENSMUSG00000064302" "Clasp1"
76808 "ENSMUSG00000045128" "Rpl18a"
78294 "ENSMUSG00000020460" "Rps27a"
78920 "ENSMUSG00000004789" "Dlst"
83962 "ENSMUSG00000025103" "Btbd1"
83997 "ENSMUSG00000021870" "Slmap"
93684 "ENSMUSG00000037072" "Selenof"
93687 "ENSMUSG00000024576" "Csnk1a1"
93739 "ENSMUSG00000031950" "Gabarapl2"
