"entrezgene" "ensembl_gene_id" "external_gene_name"
100972 "ENSMUSG00000029128" "Rab28"
101214 "ENSMUSG00000029817" "Tra2a"
101314 "ENSMUSG00000033940" "Brk1"
101437 "ENSMUSG00000030986" "Dhx32"
101966 "ENSMUSG00000019362" "D8Ertd738e"
102103 "ENSMUSG00000045636" "Mtus1"
102115 "ENSMUSG00000078440" "Dohh"
102462 "ENSMUSG00000032288" "Imp3"
102566 "ENSMUSG00000037949" "Ano10"
102857 "ENSMUSG00000019558" "Slc6a8"
102866 "ENSMUSG00000016382" "Pls3"
103172 "ENSMUSG00000049422" "Chchd10"
103199 "ENSMUSG00000038417" "Fig4"
103554 "ENSMUSG00000040850" "Psme4"
103742 "ENSMUSG00000002580" "Mien1"
104112 "ENSMUSG00000020917" "Acly"
104130 "ENSMUSG00000031059" "Ndufb11"
104175 "ENSMUSG00000042978" "Sbk1"
104303 "ENSMUSG00000060904" "Arl1"
104444 "ENSMUSG00000032026" "Rexo2"
104457 "ENSMUSG00000020831" "0610010K14Rik"
104718 "ENSMUSG00000033530" "Ttc7b"
104721 "ENSMUSG00000037149" "Ddx1"
104725 "ENSMUSG00000044408" "Sptssa"
104771 "ENSMUSG00000005078" "Jkamp"
105014 "ENSMUSG00000020621" "Rdh14"
105148 "ENSMUSG00000037851" "Iars"
105239 "ENSMUSG00000034928" "Rnf44"
105352 "ENSMUSG00000069255" "Dusp22"
105445 "ENSMUSG00000025558" "Dock9"
105513 "ENSMUSG00000034190" "Chmp7"
105675 "ENSMUSG00000021868" "Ppif"
105787 "ENSMUSG00000050697" "Prkaa1"
106064 "ENSMUSG00000041935" "AW549877"
106393 "ENSMUSG00000022519" "Srl"
106529 "ENSMUSG00000031708" "Tecr"
106581 "ENSMUSG00000024187" "Fam234a"
106869 "ENSMUSG00000062210" "Tnfaip8"
107035 "ENSMUSG00000042211" "Fbxo38"
107045 "ENSMUSG00000024493" "Lars"
107047 "ENSMUSG00000024537" "Psmg2"
107242 "ENSMUSG00000047423" "AI837181"
107358 "ENSMUSG00000025016" "Tm9sf3"
107435 "ENSMUSG00000027018" "Hat1"
107513 "ENSMUSG00000021427" "Ssr1"
107569 "ENSMUSG00000029780" "Nt5c3"
107701 "ENSMUSG00000068856" "Sf3b4"
107702 "ENSMUSG00000038650" "Rnh1"
107732 "ENSMUSG00000001445" "Mrpl10"
107932 "ENSMUSG00000063870" "Chd4"
107951 "ENSMUSG00000009555" "Cdk9"
108086 "ENSMUSG00000045078" "Rnf216"
108097 "ENSMUSG00000038205" "Prkab2"
108121 "ENSMUSG00000061613" "U2af1"
108143 "ENSMUSG00000078941" "Ak6"
108143 "ENSMUSG00000052293" "Taf9"
108155 "ENSMUSG00000034160" "Ogt"
108645 "ENSMUSG00000042032" "Mat2b"
108657 "ENSMUSG00000026269" "Rnpepl1"
108660 "ENSMUSG00000020496" "Rnf187"
108679 "ENSMUSG00000034432" "Cops8"
108705 "ENSMUSG00000009291" "Pttg1ip"
108737 "ENSMUSG00000036737" "Oxsr1"
108767 "ENSMUSG00000040128" "Pnrc1"
108927 "ENSMUSG00000048332" "Lhfp"
108989 "ENSMUSG00000006005" "Tpr"
109019 "ENSMUSG00000026107" "Nabp1"
109129 "ENSMUSG00000026766" "Mmadhc"
109154 "ENSMUSG00000048578" "Mlec"
109299 "ENSMUSG00000087679" "Tmem250-ps"
