"entrezgene" "ensembl_gene_id" "external_gene_name"
101314 "ENSMUSG00000033940" "Brk1"
101437 "ENSMUSG00000030986" "Dhx32"
102103 "ENSMUSG00000045636" "Mtus1"
102566 "ENSMUSG00000037949" "Ano10"
102857 "ENSMUSG00000019558" "Slc6a8"
103554 "ENSMUSG00000040850" "Psme4"
104130 "ENSMUSG00000031059" "Ndufb11"
104303 "ENSMUSG00000060904" "Arl1"
104718 "ENSMUSG00000033530" "Ttc7b"
104725 "ENSMUSG00000044408" "Sptssa"
104771 "ENSMUSG00000005078" "Jkamp"
105014 "ENSMUSG00000020621" "Rdh14"
106064 "ENSMUSG00000041935" "AW549877"
106529 "ENSMUSG00000031708" "Tecr"
106869 "ENSMUSG00000062210" "Tnfaip8"
107358 "ENSMUSG00000025016" "Tm9sf3"
107702 "ENSMUSG00000038650" "Rnh1"
107932 "ENSMUSG00000063870" "Chd4"
108121 "ENSMUSG00000061613" "U2af1"
108143 "ENSMUSG00000078941" "Ak6"
108143 "ENSMUSG00000052293" "Taf9"
108155 "ENSMUSG00000034160" "Ogt"
108645 "ENSMUSG00000042032" "Mat2b"
108660 "ENSMUSG00000020496" "Rnf187"
108679 "ENSMUSG00000034432" "Cops8"
108705 "ENSMUSG00000009291" "Pttg1ip"
108767 "ENSMUSG00000040128" "Pnrc1"
108989 "ENSMUSG00000006005" "Tpr"
109129 "ENSMUSG00000026766" "Mmadhc"
109672 "ENSMUSG00000024646" "Cyb5a"
109731 "ENSMUSG00000040147" "Maob"
109905 "ENSMUSG00000068798" "Rap1a"
110213 "ENSMUSG00000023010" "Tmbim6"
110323 "ENSMUSG00000036751" "Cox6b1"
110611 "ENSMUSG00000034088" "Hdlbp"
110809 "ENSMUSG00000018379" "Srsf1"
110829 "ENSMUSG00000019920" "Lims1"
110842 "ENSMUSG00000032314" "Etfa"
110954 "ENSMUSG00000008682" "Rpl10"
112405 "ENSMUSG00000031987" "Egln1"
11364 "ENSMUSG00000062908" "Acadm"
113868 "ENSMUSG00000036138" "Acaa1a"
114128 "ENSMUSG00000022257" "Laptm4b"
11430 "ENSMUSG00000020777" "Acox1"
11487 "ENSMUSG00000054693" "Adam10"
11518 "ENSMUSG00000029106" "Add1"
11532 "ENSMUSG00000028138" "Adh5"
11534 "ENSMUSG00000039197" "Adk"
11566 "ENSMUSG00000015961" "Adss"
11593 "ENSMUSG00000031521" "Aga"
11632 "ENSMUSG00000024847" "Aip"
11651 "ENSMUSG00000001729" "Akt1"
11655 "ENSMUSG00000032786" "Alas1"
11669 "ENSMUSG00000029455" "Aldh2"
11674 "ENSMUSG00000030695" "Aldoa"
11677 "ENSMUSG00000001642" "Akr1b3"
117198 "ENSMUSG00000023150" "Ivns1abp"
11735 "ENSMUSG00000069601" "Ank3"
11739 "ENSMUSG00000031633" "Slc25a4"
11740 "ENSMUSG00000016319" "Slc25a5"
11747 "ENSMUSG00000027712" "Anxa5"
