"entrezgene" "ensembl_gene_id" "external_gene_name"
100972 "ENSMUSG00000029128" "Rab28"
102857 "ENSMUSG00000019558" "Slc6a8"
103172 "ENSMUSG00000049422" "Chchd10"
103554 "ENSMUSG00000040850" "Psme4"
104130 "ENSMUSG00000031059" "Ndufb11"
104303 "ENSMUSG00000060904" "Arl1"
104718 "ENSMUSG00000033530" "Ttc7b"
105014 "ENSMUSG00000020621" "Rdh14"
105675 "ENSMUSG00000021868" "Ppif"
106393 "ENSMUSG00000022519" "Srl"
106529 "ENSMUSG00000031708" "Tecr"
106869 "ENSMUSG00000062210" "Tnfaip8"
107358 "ENSMUSG00000025016" "Tm9sf3"
107932 "ENSMUSG00000063870" "Chd4"
108143 "ENSMUSG00000078941" "Ak6"
108143 "ENSMUSG00000052293" "Taf9"
108155 "ENSMUSG00000034160" "Ogt"
108645 "ENSMUSG00000042032" "Mat2b"
108660 "ENSMUSG00000020496" "Rnf187"
108705 "ENSMUSG00000009291" "Pttg1ip"
108767 "ENSMUSG00000040128" "Pnrc1"
108989 "ENSMUSG00000006005" "Tpr"
109129 "ENSMUSG00000026766" "Mmadhc"
109672 "ENSMUSG00000024646" "Cyb5a"
109905 "ENSMUSG00000068798" "Rap1a"
110078 "ENSMUSG00000033059" "Pygb"
110323 "ENSMUSG00000036751" "Cox6b1"
110454 "ENSMUSG00000075602" "Ly6a"
110611 "ENSMUSG00000034088" "Hdlbp"
110809 "ENSMUSG00000018379" "Srsf1"
110826 "ENSMUSG00000004610" "Etfb"
110829 "ENSMUSG00000019920" "Lims1"
110842 "ENSMUSG00000032314" "Etfa"
110954 "ENSMUSG00000008682" "Rpl10"
112405 "ENSMUSG00000031987" "Egln1"
11364 "ENSMUSG00000062908" "Acadm"
113868 "ENSMUSG00000036138" "Acaa1a"
114128 "ENSMUSG00000022257" "Laptm4b"
11426 "ENSMUSG00000028649" "Macf1"
11429 "ENSMUSG00000022477" "Aco2"
11430 "ENSMUSG00000020777" "Acox1"
11468 "ENSMUSG00000059430" "Actg2"
11475 "ENSMUSG00000035783" "Acta2"
11532 "ENSMUSG00000028138" "Adh5"
11593 "ENSMUSG00000031521" "Aga"
11655 "ENSMUSG00000032786" "Alas1"
11669 "ENSMUSG00000029455" "Aldh2"
11674 "ENSMUSG00000030695" "Aldoa"
11677 "ENSMUSG00000001642" "Akr1b3"
117198 "ENSMUSG00000023150" "Ivns1abp"
11732 "ENSMUSG00000022265" "Ank"
11739 "ENSMUSG00000031633" "Slc25a4"
11740 "ENSMUSG00000016319" "Slc25a5"
11747 "ENSMUSG00000027712" "Anxa5"
11804 "ENSMUSG00000031996" "Aplp2"
11840 "ENSMUSG00000048076" "Arf1"
11843 "ENSMUSG00000021877" "Arf4"
11848 "ENSMUSG00000007815" "Rhoa"
11852 "ENSMUSG00000054364" "Rhob"
11867 "ENSMUSG00000029622" "Arpc1b"
11908 "ENSMUSG00000023027" "Atf1"
11928 "ENSMUSG00000033161" "Atp1a1"
11931 "ENSMUSG00000026576" "Atp1b1"
11938 "ENSMUSG00000029467" "Atp2a2"
11946 "ENSMUSG00000025428" "Atp5a1"
11947 "ENSMUSG00000025393" "Atp5b"
11949 "ENSMUSG00000025781" "Atp5c1"
11950 "ENSMUSG00000000563" "Atp5pb"
11951 "ENSMUSG00000006057" "Atp5g1"
11957 "ENSMUSG00000022890" "Atp5j"
11958 "ENSMUSG00000050856" "Atp5k"
11983 "ENSMUSG00000054428" "Atpif1"
11984 "ENSMUSG00000024121" "Atp6v0c"
12010 "ENSMUSG00000060802" "B2m"
12017 "ENSMUSG00000028416" "Bag1"
12034 "ENSMUSG00000004264" "Phb2"
12168 "ENSMUSG00000067336" "Bmpr2"
12176 "ENSMUSG00000078566" "Bnip3"
12215 "ENSMUSG00000023175" "Bsg"
12226 "ENSMUSG00000036478" "Btg1"
12261 "ENSMUSG00000018446" "C1qbp"
12301 "ENSMUSG00000014226" "Cacybp"
12306 "ENSMUSG00000032231" "Anxa2"
12313 "ENSMUSG00000001175" "Calm1"
12314 "ENSMUSG00000036438" "Calm2"
12317 "ENSMUSG00000003814" "Calr"
12321 "ENSMUSG00000029767" "Calu"
12330 "ENSMUSG00000020368" "Canx"
12343 "ENSMUSG00000015733" "Capza2"
12345 "ENSMUSG00000028745" "Capzb"
12373 "ENSMUSG00000027861" "Casq2"
12385 "ENSMUSG00000037815" "Ctnna1"
12387 "ENSMUSG00000006932" "Ctnnb1"
12406 "ENSMUSG00000070436" "Serpinh1"
12453 "ENSMUSG00000063015" "Ccni"
12461 "ENSMUSG00000034024" "Cct2"
12462 "ENSMUSG00000001416" "Cct3"
12464 "ENSMUSG00000007739" "Cct4"
12466 "ENSMUSG00000029447" "Cct6a"
12476 "ENSMUSG00000025510" "Cd151"
12491 "ENSMUSG00000002944" "Cd36"
12540 "ENSMUSG00000006699" "Cdc42"
12558 "ENSMUSG00000024304" "Cdh2"
12626 "ENSMUSG00000021537" "Cetn3"
12628 "ENSMUSG00000026365" "Cfh"
12785 "ENSMUSG00000030057" "Cnbp"
12793 "ENSMUSG00000015759" "Cnih1"
12826 "ENSMUSG00000031502" "Col4a1"
12857 "ENSMUSG00000031818" "Cox4i1"
12858 "ENSMUSG00000000088" "Cox5a"
12859 "ENSMUSG00000061518" "Cox5b"
12861 "ENSMUSG00000041697" "Cox6a1"
12864 "ENSMUSG00000014313" "Cox6c"
12866 "ENSMUSG00000032330" "Cox7a2"
12867 "ENSMUSG00000017778" "Cox7c"
12868 "ENSMUSG00000035885" "Cox8a"
12876 "ENSMUSG00000037852" "Cpe"
12896 "ENSMUSG00000028607" "Cpt2"
12974 "ENSMUSG00000005683" "Cs"
13001 "ENSMUSG00000024387" "Csnk2b"
13010 "ENSMUSG00000027447" "Cst3"
13016 "ENSMUSG00000037373" "Ctbp1"
13024 "ENSMUSG00000044258" "Ctla2a"
13033 "ENSMUSG00000007891" "Ctsd"
13046 "ENSMUSG00000005506" "Celf1"
13063 "ENSMUSG00000063694" "Cycs"
13138 "ENSMUSG00000039952" "Dag1"
13167 "ENSMUSG00000026385" "Dbi"
13170 "ENSMUSG00000059824" "Dbp"
13204 "ENSMUSG00000029169" "Dhx15"
13205 "ENSMUSG00000000787" "Ddx3x"
13207 "ENSMUSG00000020719" "Ddx5"
13244 "ENSMUSG00000038633" "Degs1"
13382 "ENSMUSG00000020664" "Dld"
13445 "ENSMUSG00000029394" "Cdk2ap1"
13476 "ENSMUSG00000005873" "Reep5"
13627 "ENSMUSG00000037742" "Eef1a1"
13629 "ENSMUSG00000034994" "Eef2"
13669 "ENSMUSG00000024991" "Eif3a"
13681 "ENSMUSG00000059796" "Eif4a1"
13682 "ENSMUSG00000022884" "Eif4a2"
13690 "ENSMUSG00000005610" "Eif4g2"
13800 "ENSMUSG00000022995" "Enah"
13992 "ENSMUSG00000022332" "Khdrbs3"
14004 "ENSMUSG00000070493" "Chchd2"
14081 "ENSMUSG00000018796" "Acsl1"
14109 "ENSMUSG00000038274" "Fau"
14148 "ENSMUSG00000032051" "Fdx1"
14168 "ENSMUSG00000031137" "Fgf13"
14194 "ENSMUSG00000026526" "Fh1"
14199 "ENSMUSG00000023092" "Fhl1"
14200 "ENSMUSG00000008136" "Fhl2"
14225 "ENSMUSG00000032966" "Fkbp1a"
14228 "ENSMUSG00000030357" "Fkbp4"
14251 "ENSMUSG00000059714" "Flot1"
14272 "ENSMUSG00000015994" "Fnta"
14319 "ENSMUSG00000024661" "Fth1"
14325 "ENSMUSG00000050708" "Ftl1"
14359 "ENSMUSG00000027680" "Fxr1"
14467 "ENSMUSG00000029432" "Nipsnap2"
14470 "ENSMUSG00000003380" "Rabac1"
14533 "ENSMUSG00000090247" "Bloc1s1"
14548 "ENSMUSG00000029918" "Mrps33"
14609 "ENSMUSG00000050953" "Gja1"
14661 "ENSMUSG00000021794" "Glud1"
14678 "ENSMUSG00000032562" "Gnai2"
14683 "ENSMUSG00000027523" "Gnas"
14707 "ENSMUSG00000068523" "Gng5"
14712 "ENSMUSG00000031985" "Gnpat"
14718 "ENSMUSG00000025190" "Got1"
14719 "ENSMUSG00000031672" "Got2"
14778 "ENSMUSG00000018339" "Gpx3"
14790 "ENSMUSG00000072772" "Grcc10"
14827 "ENSMUSG00000027248" "Pdia3"
14828 "ENSMUSG00000026864" "Hspa5"
14862 "ENSMUSG00000058135" "Gstm1"
14869 "ENSMUSG00000038155" "Gstp2"
14964 "ENSMUSG00000073411" "H2-D1"
15081 "ENSMUSG00000016559" "H3f3b"
15107 "ENSMUSG00000027984" "Hadh"
15191 "ENSMUSG00000004897" "Hdgf"
15277 "ENSMUSG00000000628" "Hk2"
15354 "ENSMUSG00000015217" "Hmgb3"
15374 "ENSMUSG00000020737" "Jpt1"
15382 "ENSMUSG00000046434" "Hnrnpa1"
15387 "ENSMUSG00000021546" "Hnrnpk"
15441 "ENSMUSG00000028759" "Hp1bp3"
15452 "ENSMUSG00000025630" "Hprt"
15488 "ENSMUSG00000024507" "Hsd17b4"
15510 "ENSMUSG00000025980" "Hspd1"
15516 "ENSMUSG00000023944" "Hsp90ab1"
15519 "ENSMUSG00000021270" "Hsp90aa1"
15526 "ENSMUSG00000024359" "Hspa9"
15528 "ENSMUSG00000073676" "Hspe1"
15926 "ENSMUSG00000025950" "Idh1"
16202 "ENSMUSG00000030890" "Ilk"
16341 "ENSMUSG00000022336" "Eif3e"
16432 "ENSMUSG00000022108" "Itm2b"
16592 "ENSMUSG00000027533" "Fabp5"
16598 "ENSMUSG00000055148" "Klf2"
16600 "ENSMUSG00000003032" "Klf4"
16651 "ENSMUSG00000030255" "Sspn"
16709 "ENSMUSG00000021843" "Ktn1"
16783 "ENSMUSG00000031447" "Lamp1"
16784 "ENSMUSG00000016534" "Lamp2"
16828 "ENSMUSG00000063229" "Ldha"
16832 "ENSMUSG00000030246" "Ldhb"
16852 "ENSMUSG00000068220" "Lgals1"
16922 "ENSMUSG00000026664" "Phyh"
16956 "ENSMUSG00000015568" "Lpl"
170731 "ENSMUSG00000029020" "Mfn2"
170930 "ENSMUSG00000020738" "Sumo2"
17184 "ENSMUSG00000037236" "Matr3"
17210 "ENSMUSG00000038612" "Mcl1"
17237 "ENSMUSG00000022517" "Mgrn1"
17319 "ENSMUSG00000033307" "Mif"
17347 "ENSMUSG00000020190" "Mknk2"
17436 "ENSMUSG00000032418" "Me1"
17448 "ENSMUSG00000019179" "Mdh2"
17463 "ENSMUSG00000039067" "Psmd7"
17705 "ENSMUSG00000064357" "mt-Atp6"
17711 "ENSMUSG00000064370" "mt-Cytb"
17721 "ENSMUSG00000064367" "mt-Nd5"
17750 "ENSMUSG00000031762" "Mt2"
17775 "ENSMUSG00000020585" "Laptm4a"
17850 "ENSMUSG00000023921" "Mmut"
17938 "ENSMUSG00000061315" "Naca"
17966 "ENSMUSG00000017119" "Nbr1"
17991 "ENSMUSG00000014294" "Ndufa2"
17993 "ENSMUSG00000021764" "Ndufs4"
17995 "ENSMUSG00000037916" "Ndufv1"
17999 "ENSMUSG00000032216" "Nedd4"
18000 "ENSMUSG00000026276" "Septin2"
18000 "ENSMUSG00000116048" "Septin2"
18002 "ENSMUSG00000010376" "Nedd8"
18023 "ENSMUSG00000038615" "Nfe2l1"
18035 "ENSMUSG00000021025" "Nfkbia"
18103 "ENSMUSG00000020857" "Nme2"
18148 "ENSMUSG00000057113" "Npm1"
18242 "ENSMUSG00000030934" "Oat"
18245 "ENSMUSG00000035242" "Oaz1"
18263 "ENSMUSG00000011179" "Odc1"
18293 "ENSMUSG00000020456" "Ogdh"
18453 "ENSMUSG00000025130" "P4hb"
18458 "ENSMUSG00000022283" "Pabpc1"
18472 "ENSMUSG00000020745" "Pafah1b1"
18477 "ENSMUSG00000028691" "Prdx1"
18538 "ENSMUSG00000027342" "Pcna"
18570 "ENSMUSG00000021576" "Pdcd6"
18597 "ENSMUSG00000031299" "Pdha1"
18604 "ENSMUSG00000038967" "Pdk2"
18634 "ENSMUSG00000020003" "Pex7"
18637 "ENSMUSG00000006412" "Pfdn2"
18642 "ENSMUSG00000033065" "Pfkm"
18643 "ENSMUSG00000018293" "Pfn1"
18648 "ENSMUSG00000011752" "Pgam1"
18655 "ENSMUSG00000062070" "Pgk1"
18674 "ENSMUSG00000061904" "Slc25a3"
18747 "ENSMUSG00000005469" "Prkaca"
18769 "ENSMUSG00000035268" "Pkig"
19027 "ENSMUSG00000020570" "Sypl"
19043 "ENSMUSG00000061130" "Ppm1b"
19045 "ENSMUSG00000040385" "Ppp1ca"
19047 "ENSMUSG00000004455" "Ppp1cc"
19052 "ENSMUSG00000020349" "Ppp2ca"
19073 "ENSMUSG00000020077" "Srgn"
19084 "ENSMUSG00000020612" "Prkar1a"
19087 "ENSMUSG00000032601" "Prkar2a"
19122 "ENSMUSG00000079037" "Prnp"
19131 "ENSMUSG00000059934" "Prh1"
19156 "ENSMUSG00000004207" "Psap"
19167 "ENSMUSG00000060073" "Psma3"
19170 "ENSMUSG00000014769" "Psmb1"
19172 "ENSMUSG00000005779" "Psmb4"
19177 "ENSMUSG00000026750" "Psmb7"
19181 "ENSMUSG00000028932" "Psmc2"
19182 "ENSMUSG00000002102" "Psmc3"
19231 "ENSMUSG00000026238" "Ptma"
19240 "ENSMUSG00000079523" "Tmsb10"
19243 "ENSMUSG00000026064" "Ptp4a1"
19243 "ENSMUSG00000117310" "Ptp4a1"
19244 "ENSMUSG00000028788" "Ptp4a2"
19247 "ENSMUSG00000043733" "Ptpn11"
19252 "ENSMUSG00000024190" "Dusp1"
19299 "ENSMUSG00000028127" "Abcd3"
19325 "ENSMUSG00000020671" "Rab10"
19326 "ENSMUSG00000077450" "Rab11b"
19328 "ENSMUSG00000023460" "Rab12"
19349 "ENSMUSG00000079477" "Rab7"
19353 "ENSMUSG00000001847" "Rac1"
19357 "ENSMUSG00000022314" "Rad21"
19359 "ENSMUSG00000028426" "Rad23b"
19384 "ENSMUSG00000029430" "Ran"
19385 "ENSMUSG00000005732" "Ranbp1"
19744 "ENSMUSG00000028945" "Rheb"
19899 "ENSMUSG00000059070" "Rpl18"
19934 "ENSMUSG00000028936" "Rpl22"
19935 "ENSMUSG00000037772" "Mrpl23"
19941 "ENSMUSG00000060938" "Rpl26"
19942 "ENSMUSG00000063316" "Rpl27"
19943 "ENSMUSG00000030432" "Rpl28"
19982 "ENSMUSG00000079435" "Rpl36a"
19988 "ENSMUSG00000029614" "Rpl6"
19989 "ENSMUSG00000043716" "Rpl7"
20018 "ENSMUSG00000029642" "Polr1d"
20044 "ENSMUSG00000024608" "Rps14"
20054 "ENSMUSG00000063457" "Rps15"
20055 "ENSMUSG00000037563" "Rps16"
