"x"
"AFFX.BioB.M_at"
"AFFX.BioC.3_at"
"AFFX.BioC.5_at"
"AFFX.BioDn.3_at"
"AFFX.BioDn.5_at"
"AFFX.CreX.3_at"
"AFFX.CreX.5_at"
"AFFX.GapdhMur.M32599_3_at"
"AFFX.GapdhMur.M32599_M_at"
"AFFX.MURINE_B2_at"
"AFFX.MURINE_b1_at"
"AFFX.MUR_b2_at"
"AFFX.b.ActinMur.M12481_3_at"
"AFFX.b.ActinMur.M12481_M_at"
"AFFX.r2.Ec.bioB.3_at"
"AFFX.r2.Ec.bioB.M_at"
"AFFX.r2.Ec.bioC.3_at"
"AFFX.r2.Ec.bioC.5_at"
"AFFX.r2.Ec.bioD.3_at"
"AFFX.r2.Ec.bioD.5_at"
"AFFX.r2.P1.cre.3_at"
"AFFX.r2.P1.cre.5_at"
"gnf1m00016_a_at"
"gnf1m00032_a_at"
"gnf1m00034_a_at"
"gnf1m00052_a_at"
"gnf1m00058_a_at"
"gnf1m00062_a_at"
"gnf1m00081_a_at"
"gnf1m00085_s_at"
"gnf1m00101_a_at"
"gnf1m00105_s_at"
"gnf1m00112_s_at"
"gnf1m00117_a_at"
"gnf1m00119_a_at"
"gnf1m00127_s_at"
"gnf1m00128_s_at"
"gnf1m00143_a_at"
"gnf1m00146_at"
"gnf1m00157_a_at"
"gnf1m00159_a_at"
"gnf1m00160_a_at"
"gnf1m00162_a_at"
"gnf1m00181_a_at"
"gnf1m00182_a_at"
"gnf1m00183_a_at"
"gnf1m00188_a_at"
"gnf1m00191_a_at"
"gnf1m00197_s_at"
"gnf1m00204_a_at"
"gnf1m00212_a_at"
"gnf1m00216_a_at"
"gnf1m00219_a_at"
"gnf1m00223_a_at"
"gnf1m00226_a_at"
"gnf1m00229_a_at"
"gnf1m00240_s_at"
"gnf1m00242_s_at"
"gnf1m00250_a_at"
"gnf1m00252_a_at"
"gnf1m00255_a_at"
"gnf1m00256_a_at"
"gnf1m00260_a_at"
"gnf1m00276_a_at"
"gnf1m00291_s_at"
"gnf1m00298_a_at"
"gnf1m00299_a_at"
"gnf1m00316_a_at"
"gnf1m00322_a_at"
"gnf1m00324_a_at"
"gnf1m00329_a_at"
"gnf1m00347_a_at"
"gnf1m00354_x_at"
"gnf1m00356_a_at"
"gnf1m00359_a_at"
"gnf1m00364_a_at"
"gnf1m00365_at"
"gnf1m00371_a_at"
"gnf1m00374_s_at"
"gnf1m00389_a_at"
"gnf1m00393_a_at"
"gnf1m00402_a_at"
"gnf1m00414_a_at"
"gnf1m00418_s_at"
"gnf1m00423_a_at"
"gnf1m00424_a_at"
"gnf1m00435_a_at"
"gnf1m00436_a_at"
"gnf1m00438_a_at"
"gnf1m00441_a_at"
"gnf1m00443_a_at"
"gnf1m00449_a_at"
"gnf1m00462_a_at"
"gnf1m00469_a_at"
"gnf1m00471_a_at"
"gnf1m00472_a_at"
"gnf1m00475_a_at"
"gnf1m00476_a_at"
"gnf1m00477_a_at"
"gnf1m00480_a_at"
"gnf1m00482_a_at"
"gnf1m00488_a_at"
"gnf1m00493_a_at"
"gnf1m00507_a_at"
"gnf1m00530_a_at"
"gnf1m00534_a_at"
"gnf1m00536_a_at"
"gnf1m00543_at"
"gnf1m00551_a_at"
"gnf1m00580_a_at"
"gnf1m00596_a_at"
"gnf1m00607_a_at"
"gnf1m00608_a_at"
"gnf1m00619_a_at"
"gnf1m00620_a_at"
"gnf1m00622_a_at"
"gnf1m00638_a_at"
"gnf1m00644_a_at"
"gnf1m00669_a_at"
"gnf1m00680_a_at"
"gnf1m00698_a_at"
"gnf1m00712_a_at"
"gnf1m00714_a_at"
"gnf1m00722_a_at"
"gnf1m00725_at"
"gnf1m00729_a_at"
"gnf1m00747_s_at"
"gnf1m00751_a_at"
"gnf1m00757_a_at"
"gnf1m00758_a_at"
"gnf1m00770_a_at"
"gnf1m00781_a_at"
"gnf1m00785_a_at"
"gnf1m00801_x_at"
"gnf1m00816_a_at"
"gnf1m00834_a_at"
"gnf1m00837_a_at"
"gnf1m00838_a_at"
"gnf1m00841_a_at"
"gnf1m00845_a_at"
"gnf1m00855_a_at"
"gnf1m00872_s_at"
"gnf1m00877_a_at"
"gnf1m00889_a_at"
"gnf1m00907_a_at"
"gnf1m00908_a_at"
"gnf1m00922_a_at"
"gnf1m00931_a_at"
"gnf1m00939_a_at"
"gnf1m00965_a_at"
"gnf1m00970_a_at"
"gnf1m01017_a_at"
"gnf1m01018_a_at"
"gnf1m01019_a_at"
"gnf1m01031_a_at"
"gnf1m01042_a_at"
"gnf1m01058_a_at"
"gnf1m01066_a_at"
"gnf1m01069_a_at"
"gnf1m01070_a_at"
"gnf1m01073_a_at"
"gnf1m01086_a_at"
"gnf1m01087_a_at"
"gnf1m01103_a_at"
"gnf1m01113_a_at"
"gnf1m01121_a_at"
"gnf1m01124_a_at"
"gnf1m01125_s_at"
"gnf1m01128_a_at"
"gnf1m01129_a_at"
"gnf1m01143_a_at"
"gnf1m01154_a_at"
"gnf1m01189_a_at"
"gnf1m01201_a_at"
"gnf1m01202_a_at"
"gnf1m01221_a_at"
"gnf1m01226_a_at"
"gnf1m01229_a_at"
"gnf1m01247_a_at"
"gnf1m01251_a_at"
"gnf1m01262_a_at"
"gnf1m01268_a_at"
"gnf1m01275_a_at"
"gnf1m01291_a_at"
"gnf1m01329_a_at"
"gnf1m01340_a_at"
"gnf1m01353_a_at"
"gnf1m01367_a_at"
"gnf1m01386_a_at"
"gnf1m01389_a_at"
"gnf1m01416_a_at"
"gnf1m01418_a_at"
"gnf1m01444_a_at"
"gnf1m01445_a_at"
"gnf1m01454_a_at"
"gnf1m01459_a_at"
"gnf1m01460_a_at"
"gnf1m01465_a_at"
"gnf1m01480_a_at"
"gnf1m01483_a_at"
"gnf1m01489_a_at"
"gnf1m01491_a_at"
"gnf1m01513_x_at"
"gnf1m01519_a_at"
"gnf1m01522_a_at"
"gnf1m01575_x_at"
"gnf1m01584_at"
"gnf1m01601_a_at"
"gnf1m01615_x_at"
"gnf1m01631_s_at"
"gnf1m01632_a_at"
"gnf1m01642_x_at"
"gnf1m01657_a_at"
"gnf1m01659_a_at"
"gnf1m01660_a_at"
"gnf1m01669_a_at"
"gnf1m01670_a_at"
"gnf1m01674_a_at"
"gnf1m01686_s_at"
"gnf1m01696_s_at"
"gnf1m01699_a_at"
"gnf1m01702_x_at"
"gnf1m01703_x_at"
"gnf1m01704_a_at"
"gnf1m01720_a_at"
"gnf1m01722_a_at"
"gnf1m01733_a_at"
"gnf1m01736_s_at"
"gnf1m01741_a_at"
"gnf1m01748_a_at"
"gnf1m01757_s_at"
"gnf1m01769_a_at"
"gnf1m01791_a_at"
"gnf1m01818_a_at"
"gnf1m01826_x_at"
"gnf1m01858_a_at"
"gnf1m01862_a_at"
"gnf1m01873_a_at"
"gnf1m01874_a_at"
"gnf1m01878_a_at"
"gnf1m01889_x_at"
"gnf1m01904_s_at"
"gnf1m01907_a_at"
"gnf1m01931_a_at"
"gnf1m01949_a_at"
"gnf1m01976_a_at"
"gnf1m02002_a_at"
"gnf1m02003_a_at"
"gnf1m02004_a_at"
"gnf1m02008_s_at"
"gnf1m02012_a_at"
"gnf1m02016_a_at"
"gnf1m02022_a_at"
"gnf1m02034_a_at"
"gnf1m02035_a_at"
"gnf1m02038_s_at"
"gnf1m02043_a_at"
"gnf1m02083_a_at"
"gnf1m02084_a_at"
"gnf1m02087_a_at"
"gnf1m02092_s_at"
"gnf1m02093_a_at"
"gnf1m02094_a_at"
"gnf1m02098_a_at"
"gnf1m02109_a_at"
"gnf1m02117_a_at"
"gnf1m02118_a_at"
"gnf1m02123_s_at"
"gnf1m02131_a_at"
"gnf1m02142_a_at"
"gnf1m02147_a_at"
"gnf1m02155_a_at"
"gnf1m02158_a_at"
"gnf1m02176_a_at"
"gnf1m02177_s_at"
"gnf1m02193_a_at"
"gnf1m02230_a_at"
"gnf1m02231_a_at"
"gnf1m02236_a_at"
"gnf1m02251_a_at"
"gnf1m02252_a_at"
"gnf1m02266_x_at"
"gnf1m02270_a_at"
"gnf1m02288_a_at"
"gnf1m02298_a_at"
"gnf1m02300_a_at"
"gnf1m02301_a_at"
"gnf1m02319_a_at"
"gnf1m02320_s_at"
"gnf1m02321_a_at"
"gnf1m02354_a_at"
"gnf1m02365_a_at"
"gnf1m02370_a_at"
"gnf1m02373_x_at"
"gnf1m02387_a_at"
"gnf1m02388_a_at"
"gnf1m02431_a_at"
"gnf1m02449_a_at"
"gnf1m02450_s_at"
"gnf1m02459_a_at"
"gnf1m02477_a_at"
"gnf1m02479_x_at"
"gnf1m02491_a_at"
"gnf1m02493_a_at"
"gnf1m02505_a_at"
"gnf1m02508_a_at"
"gnf1m02515_a_at"
"gnf1m02518_a_at"
"gnf1m02531_at"
"gnf1m02539_s_at"
"gnf1m02557_a_at"
"gnf1m02559_at"
"gnf1m02560_a_at"
"gnf1m02564_a_at"
"gnf1m02569_a_at"
"gnf1m02572_a_at"
"gnf1m02587_a_at"
"gnf1m02589_a_at"
"gnf1m02610_a_at"
"gnf1m02612_a_at"
